ID,Gender,Standing_Height,Seated_Height,Weight,Age,Age_PHV,Maturity_Offset,5m_Best (s),10m_Best (s),Change_of_Direction_Best,Vertical_jump_Best,Horizontal_jump_Best
1,F,165.1,88.0,81.7,14.2,11.9,2.3,1.25,2.17,3.33,31,1.27
2,F,169.8,87.7,54.3,13.9,11.8,2.1,1.22,2.10,3.20,43,1.82
3,M,169.8,84.3,54.4,13.8,13.9,-0.1,1.11,1.95,2.87,43,1.95
4,M,176.4,94.7,60.1,14.4,12.9,1.5,1.05,1.85,2.99,45,2.03
5,M,163.3,84.1,53.3,14.7,14.4,0.3,1.07,1.90,2.94,45,1.94
6,M,179.2,93.6,65.9,15.1,13.3,1.8,0.95,1.67,2.43,60,2.76
7,M,171.5,86.0,61.9,13.7,13.6,0.1,1.31,2.24,3.11,43,1.71
8,F,157.0,80.0,51.1,14.1,12.7,1.3,1.15,2.07,3.21,33,1.66
9,F,156.1,83.8,51.1,14.2,12.7,1.6,1.23,2.21,3.44,29,1.29
10,F,158.6,82.2,56.0,15.0,13.0,2.0,1.11,1.93,2.99,35,1.99
11,M,160.5,82.1,58.9,13.6,13.9,-0.4,1.11,1.98,3.07,44,1.74
12,M,182.4,94.7,64.4,15.1,13.2,1.9,1.06,1.80,2.88,51,2.19
13,F,150.4,80.6,46.3,13.9,12.9,1.0,1.14,2.06,3.00,46,1.81
14,F,163.7,84.4,51.3,13.6,12.1,1.5,1.08,1.89,2.99,40,1.86
15,F,164.6,86.5,53.7,14.6,12.4,2.2,1.14,1.97,3.05,38,1.70
16,M,158.9,80.6,43.4,13.5,14.3,-0.8,1.04,1.82,2.71,47,1.87
17,M,185.6,95.9,111.1,14.8,12.3,2.5,1.09,1.91,2.82,45,1.92
18,M,177.5,89.0,63.9,14.8,13.8,1.1,1.05,1.75,2.96,50,2.15
19,M,159.2,82.7,46.0,13.6,14.1,-0.5,1.08,1.90,2.82,38,1.87
20,F,162.7,84.0,48.1,13.8,12.3,1.5,1.12,1.95,2.91,43,1.83
21,M,188.4,95.1,73.5,13.9,12.5,1.4,1.09,1.91,3.08,42,2.06
22,M,182.7,96.5,78.2,14.7,12.6,2.1,1.07,1.81,2.82,40,2.23
23,M,160.1,85.3,49.3,14.6,14.2,0.4,1.05,1.84,2.97,43,2.02
24,M,165.3,84.0,54.9,13.7,13.9,-0.2,1.05,1.89,2.83,48,2.10
25,M,171.1,90.1,59.9,14.2,13.3,0.8,1.07,1.88,2.74,41,2.08
26,F,156.7,79.2,41.7,13.8,12.7,1.0,1.10,1.93,2.90,33,1.74
27,M,164.9,81.5,56.5,14.4,14.6,-0.1,1.14,1.96,2.91,35,1.99
28,M,159.7,84.0,43.4,13.5,13.9,-0.4,1.04,1.79,2.92,53,2.26
29,M,156.7,79.6,44.7,13.6,14.4,-0.9,1.09,1.89,2.99,52,2.04
30,M,170.0,89.0,69.5,14.2,13.3,0.9,1.20,2.12,2.98,38,1.73
31,M,181.0,87.8,58.5,15.1,14.2,1.0,1.05,1.79,2.85,44,2.02
32,M,168.5,89.1,54.0,14.0,13.5,0.6,1.03,1.80,2.84,49,2.11
33,M,148.0,76.7,38.8,13.4,14.7,-1.3,1.12,1.94,2.69,46,2.00
34,F,163.2,81.2,48.4,13.7,12.3,1.4,1.11,1.97,2.80,49,2.02
35,F,166.2,88.3,66.1,14.0,11.9,2.1,1.26,2.11,3.20,43,1.83
36,M,173.1,88.5,61.9,14.8,13.8,1.0,1.18,1.99,3.12,41,1.73
37,M,156.4,80.5,65.4,13.9,14.2,-0.3,1.05,1.93,3.00,43,1.71
38,M,186.1,94.7,60.5,15.3,13.3,2.0,1.16,1.96,2.96,49,1.83
39,M,146.2,74.1,40.9,13.3,15.0,-1.6,1.28,2.23,3.30,31,1.58
40,F,169.5,90.0,65.6,13.9,11.6,2.3,1.20,2.14,3.08,32,1.65
41,M,180.4,92.5,72.4,14.4,13.0,1.4,1.19,2.04,2.90,43,1.89
42,F,158.4,84.4,55.1,14.0,12.4,1.6,1.09,1.95,2.92,35,1.58
43,M,169.1,84.8,56.1,14.2,14.1,0.2,1.15,1.98,2.97,49,1.83
44,M,169.8,82.3,49.5,14.1,14.4,-0.3,1.17,2.02,3.22,35,1.59
45,F,166.1,82.8,63.7,14.6,12.5,2.1,1.18,2.05,3.05,47,1.52
46,F,161.0,82.6,56.1,15.1,12.9,2.1,1.06,1.90,2.94,43,1.79
47,F,162.8,87.1,58.8,15.2,12.7,2.5,1.14,2.00,3.13,36,1.80
48,F,166.7,91.5,60.1,14.4,11.9,2.5,1.17,2.00,3.09,38,1.75
